Filename,Polyglot_Type,VT_Analysis_ID,Analysis_Status,Malicious_Engines,Undetected_Engines
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f.sh,original,Y2RkOTkzMmU1NzU4ODM0ODlhNTQ2YTQ1NWQ5ZTA2YjU6MTc3NTIyODg3OA==,completed,6,56
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7.sh,original,ODE0ZTdmN2YzMjk2NGNiZjVlYzkxZGJiNTY3NjhkYTg6MTc3NTIyODg5Nw==,completed,31,31
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd.sh,original,YWQyYmMyMzc3NWY3MGY1ZGNjMjVjOGQzM2JiMzY4YjY6MTc3NTIyODkxNg==,completed,35,25
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4.sh,original,N2UxNWYyOWU5ZjcwMmY2ZTJmMTg2MGUyNTU3MjdjMTA6MTc3NTIyODkzNA==,completed,31,31
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40.sh,original,MTUwZGM5YWU3YzU3Mjk1NTJlYzJlOTJhN2JjNDkwOTU6MTc3NTIyODk1NA==,completed,35,27
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd.sh,original,NzQzYWMyMWNmOTI0NTM5N2RhZTlmYmZjY2UxYzZjMjA6MTc3NTIyODk3Mg==,completed,36,24
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0.sh,original,NWFjZjYzNzcwNjllMTNhNzRjNzAxMTFlNjE1OGUzOGY6MTc3NTIyODk5MQ==,completed,19,41
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535.sh,original,MmNmZDZjNzgwNzU0ZTRhM2ZmMjNhMDM5NTFhMTY3OGY6MTc3NTIyOTAxMA==,completed,2,60
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c.sh,original,MzA3NjcyNzVjYTgyOGVjMWM5ZDYyYmFjY2JiMGNkZjE6MTc3NTIyOTAyOA==,completed,14,47
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33.sh,original,YzRhNTZjODQ2NmUyZmU3NjAwMmU2Y2Y4MDYwMjNiMGI6MTc3NTIyOTA5Nw==,completed,16,46
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310.sh,original,M2QxNTQ2YzhhOTYwMzZiNDI2ZGY0ZWEwN2NiNzBjZWY6MTc3NTIyOTExNw==,completed,29,33
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4.sh,original,MDA5YTU5NGM0Mjk4NDIxOGQyYTg2NDJlNTk1ZTRkN2I6MTc3NTIyOTEzNg==,completed,36,25
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0.sh,original,MjJhMTg5ZTAyNjZlMGFkNzIyYjdlNTg5MjNlYWZhYjU6MTc3NTIyOTE1NQ==,completed,38,24
1c8ccda72671132190340a819e4689f94fbc317970d1da3dc44fafa8fb9d1456.sh,original,NjgzNGFmNzBhNzk2ZmJkYzczN2ZjOWJmZGM1ZTkwMTQ6MTc3NTIyOTE3Mw==,completed,2,60
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade.sh,original,ZGZiMTljYjI4YTExYjMzZGIwYTgzZDBmMDMzYTAyZjQ6MTc3NTIyOTE5Mg==,completed,2,60
4dc4f0f7d86ce580ec9d5afe792681d8c4ce473e96f21cfaa11cec93b1cf2ae6.sh,original,ODQ4NmZiODc1MDBmNDI4MmE2MGMyNzg3MjNkYzUwN2Y6MTc3NTIyOTIxMQ==,completed,11,50
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb.sh,original,ZDZlNTdlOTcwNGQ4MTg1ZDM3ODRhNjQxMjJmZmQxN2I6MTc3NTIyOTIzMQ==,completed,37,25
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c.sh,original,Y2EzZjYwYjM5ODExZWZkYzk0M2EyY2NmMmMxMWFlMGM6MTc3NTIyOTI1MQ==,completed,16,47
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc.sh,original,YTQ3NDkyNmU3MjVlYzQ0NDRmYzI1YmEyYzFkMGU1MTA6MTc3NTIyOTI3MA==,completed,16,44
