Filename,Polyglot_Type,Triage_Sample_ID,Status
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b_cavity.sh,cavity,260523-wdtnzsfw7j,Success
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2_cavity.sh,cavity,260523-wdwhksaw6v,Success
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7_cavity.sh,cavity,260523-wdyb6saw6x,Success
4dc4f0f7d86ce580ec9d5afe792681d8c4ce473e96f21cfaa11cec93b1cf2ae6_cavity.sh,cavity,260523-wdzj8saw6z,Success
e0d7c7df9562bef40c41835803a4af04a04f4f48f201e56c6f60dc58ae8c65e4_cavity.sh,cavity,260523-wd2dtsaw61,Success
2da6979700ca47740c94446df38096017166eecb4206af33aa1d55c9346593ea_cavity.sh,cavity,260523-wd38esfw7q,Success
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_cavity.sh,cavity,260523-wd5q9afw8j,Success
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8_cavity.sh,cavity,260523-wd7wlsfw8m,Success
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40_cavity.sh,cavity,260523-wd9p7saw7t,Success
80729e37f797da2b5a177867306318626e52b675f44fa441c256d139e88f69df_cavity.sh,cavity,260523-wea82afw8p,Success
83b524467cb1eb5c4807b0f4cec93c5efe6f3b1bbd15f711f4462b15706b863b_cavity.sh,cavity,260523-wec3mafw8r,Success
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33_cavity.sh,cavity,260523-wejkeafw9q,Success
6bcae8f7016b166affdff426d2269c23feb5fcf5f482ee809976adea3e0f9453_cavity.sh,cavity,260523-welprsfx2j,Success
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e_cavity.sh,cavity,260523-weypbsaw71,Success
60f401afeb6054e531916adb8118df45fcd7d4c1d166ac28197c67ecba2ba60c_cavity.sh,cavity,260523-we1hxsaw8t,Success
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0_cavity.sh,cavity,260523-we22raaw8z,Success
9c15f56d1167f8e3cad9bcb719ed6e304e1eb00c84e669325f825f629bc0610d_cavity.sh,cavity,260523-we4wcaaw9v,Success
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd_cavity.sh,cavity,260523-we6pyaaw9z,Success
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535_cavity.sh,cavity,260523-we8jjaax2t,Success
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e_cavity.sh,cavity,260523-we93csax2y,Success
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4_cavity.sh,cavity,260523-wfbwysax21,Success
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708_cavity.sh,cavity,260523-wfd2bafx3q,Success
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd_cavity.sh,cavity,260523-wffj5sfx4k,Success
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_cavity.sh,cavity,260523-wfhdqsax3x,Success
1c8ccda72671132190340a819e4689f94fbc317970d1da3dc44fafa8fb9d1456_cavity.sh,cavity,260523-wfjxkaax3y,Success
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_cavity.sh,cavity,260523-wfl2xsax4t,Success
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_cavity.sh,cavity,260523-wfnwhsfx4r,Success
afd4beb3efb2aac7e0f40c5c8544193fb2e2463f1beca8c3db6ac213d507b3e0_cavity.sh,cavity,260523-wfqp4sfx5p,Success
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_cavity.sh,cavity,260523-wfr8yafx5r,Success
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555_cavity.sh,cavity,260523-wft3jafx6k,Success
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f_cavity.sh,cavity,260523-wfww5afx6n,Success
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1_cavity.sh,cavity,260523-wfyeysfx6q,Success
f44f787ed1febf572ad6b20f972e31dba769b8d19e82b55dcbf251efa0ef47ee_cavity.sh,cavity,260523-wfz9jsfx7l,Success
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd_cavity.sh,cavity,260523-wf235sfx7p,Success
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c_cavity.sh,cavity,260523-wf4xqsfx7r,Success
5a5a0657dcf5e52fce7ff6ad331b4e655cbaada15029f2eb4b3abca066d0682c_cavity.sh,cavity,260523-wf6rbsax4z,Success
b2e7757aac7af333aa53fb170c196bd4f324bdb60b841f6c7f233cb7b6dfc042_cavity.sh,cavity,260523-wf8kxsfx8m,Success
24d0d3d9346bc42fc669ab17c3b0cd7cb7fd5b04587842eccdecd40309eb7fd7_cavity.sh,cavity,260523-wgaehsfx8p,Success
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_cavity.sh,cavity,260523-wgcjwafx9k,Success
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4_cavity.sh,cavity,260523-wgedgaax5s,Success
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310_cavity.sh,cavity,260523-wgf73afx9n,Success
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34_cavity.sh,cavity,260523-wghqwsax5w,Success
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c_cavity.sh,cavity,260523-wgkv9afx9p,Success
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037_cavity.sh,cavity,260523-wgmd3sfx9q,Success
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc_cavity.sh,cavity,260523-wgn8nsax6t,Success
a741e3152b6363815bf47343189b75609f413b6409232c3a9bc00fec95b12dec_cavity.sh,cavity,260523-wgq29sax6y,Success
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2_cavity.sh,cavity,260523-wgswvsax61,Success
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_cavity.sh,cavity,260523-wgwbzsax7v,Success
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_cavity.sh,cavity,260523-wgxvtaax7y,Success
be0fe6a1344b052d4f61cca910f7d26ad02d283f280014eeca0d1cc729e6822a_cavity.sh,cavity,260523-wgzz6sax8v,Success
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893_original.sh,original,260526-nvg3hsaz9v,Success
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2_original.sh,original,260526-nvjlcagw7p,Success
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c_original.sh,original,260526-nvleyagw7q,Success
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6_original.sh,original,260526-nvm9jaaz9y,Success
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd_original.sh,original,260526-nvpglaaz9z,Success
b81dbc2439873d2a76e44b22c55251243ed2fa6077a7dbfd00a30a7d635ad9a4_original.sh,original,260526-nvrlysa12t,Success
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33_original.sh,original,260526-nvz84agw8j,Success
9c15f56d1167f8e3cad9bcb719ed6e304e1eb00c84e669325f825f629bc0610d_original.sh,original,260526-nv23paa12v,Success
9ca881abd3c11368e381b8a9f6d32ef14e022058ce936922afb82164c17f3310_original.sh,original,260526-nv4xaaa12w,Success
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e_original.sh,original,260526-nwezjsgw8n,Success
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84_original.sh,original,260526-nwhensa121,Success
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480_original.sh,original,260526-nwkvssgw8q,Success
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40_original.sh,original,260526-nwmpdsgw9k,Success
be0fe6a1344b052d4f61cca910f7d26ad02d283f280014eeca0d1cc729e6822a_original.sh,original,260526-nwptraa13s,Success
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e_original.sh,original,260526-nwrcksgw9l,Success
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535_original.sh,original,260526-nws66sgw9m,Success
2da6979700ca47740c94446df38096017166eecb4206af33aa1d55c9346593ea_original.sh,original,260526-nwvp1agw9n,Success
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd_original.sh,original,260526-nwxjlaa13w,Success
465d9e29fd4e7f614deb287428e1b595d291d535de4dfd571ab49da68314bade_original.sh,original,260526-nwzc7aa13z,Success
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd_original.sh,original,260526-nw2tbagx2j,Success
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708_original.sh,original,260526-nw4mxaa131,Success
f44f787ed1febf572ad6b20f972e31dba769b8d19e82b55dcbf251efa0ef47ee_original.sh,original,260526-nw6ghaa14s,Success
a58fa03638110727f4a4a227f6ec2c0dceaeb39ccee89d12a4d727bb50d29dc0_original.sh,original,260526-nw8a4aa14t,Success
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037_original.sh,original,260526-nw95paa14w,Success
21c9ee9681865b3f6a20ac8149a5b7d54ab76ad22ab02ba23c4261ee2a303aeb_original.sh,original,260526-nxbnhsa14x,Success
83b524467cb1eb5c4807b0f4cec93c5efe6f3b1bbd15f711f4462b15706b863b_original.sh,original,260526-nxdg4sa14z,Success
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34_original.sh,original,260526-nxfbpsgx2m,Success
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd_original.sh,original,260526-nxg6asgx2p,Success
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555_original.sh,original,260526-nxjzwsgx2r,Success
8789320655b785043f30ed458ed5cbd84861fecd46c4b1fa710a29639cd02ecc_original.sh,original,260526-nxltgsgx3j,Success
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c_original.sh,original,260526-nxncbaa15v,Success
a741e3152b6363815bf47343189b75609f413b6409232c3a9bc00fec95b12dec_original.sh,original,260526-nxp6xaa15w,Success
b2e7757aac7af333aa53fb170c196bd4f324bdb60b841f6c7f233cb7b6dfc042_original.sh,original,260526-nxr1haa15z,Success
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1_original.sh,original,260526-nxtjbsa151,Success
