Filename,Polyglot_Type,Triage_Sample_ID,Status
1a0b015f10ddb6773e33e27b07b24b1cd24a5095409173d587c7cdd247169c7b.sh,original,260411-pnc1naft4r,Success
6b94e16e486df4ae0960c0cf0ce0e0425a5b9a4b98ea18503468d4cdde93409e.sh,original,260411-pne51sas2y,Success
c7d62e129de1b306f45aa655f1da8158237b866261df3d1bd1c31ac89f0774c8.sh,original,260411-pnkeqsas3v,Success
2f0e5799b4b47c6a9fb522937ec66d71d34266ac8cf2c077508d794ee1ff71d2.sh,original,260411-pnmj4aft5m,Success
24d0d3d9346bc42fc669ab17c3b0cd7cb7fd5b04587842eccdecd40309eb7fd7.sh,original,260411-pnpdpaft5n,Success
e85eb5bccd2cfb000db6a0a4dd0d29921e1e512fa3787a1eb15e764a0b050037.sh,original,260411-pnq8aaft5q,Success
8033721d48f43261486b402afc26f22e0de686f21d94ad46f2f11ebda780defd.sh,original,260411-pnsq4sas4x,Success
a4904fb5c97b3b784b94adc86b2882ac18a87720783c48fda93db57cd7782a84.sh,original,260411-pnwg1aas5s,Success
351e5de41242d19e1b065712e72fe9e420eebba0e7c25b721ad0ab11c119e555.sh,original,260411-pnx1tsas5v,Success
5d81829595150eb5f702e5dcc8c0005e95e216e08947fed48b67c35c9ef73708.sh,original,260411-pnz57aft6p,Success
b0847d54bcb077c51e83f03e82f61063ce76325b3467cbb1dcf90eb076a3787e.sh,original,260411-pn91dsas6w,Success
2da6979700ca47740c94446df38096017166eecb4206af33aa1d55c9346593ea.sh,original,260411-ppbtzsft7r,Success
3619fbcb12d39bbc5009f473a25dcfc95b543f67cbdb88ab203bc4259903eab1.sh,original,260411-ppdzcaas7v,Success
59d2899a00e51d8f410c5ff2f573fe1d21b9b6c71c010f53aac1a73e64ad0480.sh,original,260411-pphmjaas8v,Success
80729e37f797da2b5a177867306318626e52b675f44fa441c256d139e88f69df.sh,original,260411-ppkf5aas8x,Success
cefe4982af641fcbb0a1a30faaa639f0de617124bb282aa9394aa2a8ee4634e6.sh,original,260411-ppmaqaft8q,Success
60f401afeb6054e531916adb8118df45fcd7d4c1d166ac28197c67ecba2ba60c.sh,original,260411-ppn5baft9l,Success
b2e7757aac7af333aa53fb170c196bd4f324bdb60b841f6c7f233cb7b6dfc042.sh,original,260411-ppqyxaas9t,Success
a40ad0e99455b45c535e5e0b12c76bf417a198591dd83b3403ccc02362be11e2.sh,original,260411-ppsshaas9w,Success
9c15f56d1167f8e3cad9bcb719ed6e304e1eb00c84e669325f825f629bc0610d.sh,original,260411-ppvbbsfv2k,Success
1b52d27482ab140ea372e8ce644585013d1b9c5618b1d7880c164549eb15f18c.sh,original,260411-ppw5xsfv2m,Success
e0d7c7df9562bef40c41835803a4af04a04f4f48f201e56c6f60dc58ae8c65e4.sh,original,260411-ppyzhsat2v,Success
2ee89245c6dd3edd3e14f8bc52c866757ad98b97955b181d0cd5dc719004b893.sh,original,260411-pp1hcafv3l,Success
396454060ee01e37b2b2cfe165541152283ccba81c2ebab0591f2baa4ec607dd.sh,original,260411-pp53tsat3s,Success
83b524467cb1eb5c4807b0f4cec93c5efe6f3b1bbd15f711f4462b15706b863b.sh,original,260411-pp7xesat3w,Success
be0fe6a1344b052d4f61cca910f7d26ad02d283f280014eeca0d1cc729e6822a.sh,original,260411-pp92safv4k,Success
65d10ce7d4cbda9b316b4a4e1d82e0cd111f741b8aa2cf595fd9183de6364a34.sh,original,260411-pqbwdafv4n,Success
92ab54d8ddfe5a408bb519d720fd58b0745c405991e41ec420f9132cdce57e2f.sh,original,260411-pqdd7sfv5j,Success
99296550ab836f29ab7b45f18f1a1cb17a102bb81cad83561f615f3a707887d7.sh,original,260411-pqfjkafv5m,Success
afc7822d9e561982f5ed22faf76b35ad4b432eaa6cac0cd0fcafc9e67314a8fd.sh,original,260411-pqhc6afv5p,Success
9189499c98ba9a90ecebfb73b559d6bd44009fb7c58ed53f1a103a5b6e51a3f4.sh,original,260411-pqj7raat4t,Success
1bf4fcd6d035805d44b5ae7ec67860911ed4c43f94e827c988992d0587d1ab40.sh,original,260411-pql2caat41,Success
c0469c8400de5b76b99f26aa982023f483df42781813ebbbdaf4e4013d8fdabd.sh,original,260411-pqnvyafv5q,Success
19680b70becbd4f0a44115dfa79a717603d530e2826cc6ff6d5645baba9a05c0.sh,original,260411-pqqpjafv6k,Success
a94f8a04854eba70645d92176a8f1d5e7423f3d92fef3ad721e01e594b3cc535.sh,original,260411-pqr8csfv6l,Success
5dabcdef5b91370b31f8e78058b0d67ed055159e10f3a38bce0df13da5e6166c.sh,original,260411-pqt2ysfv6r,Success
9fb82d137cef8056c62cc85ba2c04e8776074e8e54d1da80f90596cc07ecde33.sh,original,260411-pq9seafv8j,Success
